district_id,voucher_area
2400060,baltimore
2400090,baltimore
2400120,baltimore
2400210,baltimore
2400390,baltimore
2400420,baltimore
2502530,berkshire county
2505760,berkshire county
2506690,berkshire county
2506750,berkshire county
2508160,berkshire county
2509630,berkshire county
2510080,berkshire county
2511040,berkshire county
2525006,berkshire county
2525013,berkshire county
2500067,boston
2500541,boston
2501710,boston
2501740,boston
2501860,boston
2501950,boston
2501980,boston
2502100,boston
2502190,boston
2502400,boston
2502490,boston
2502520,boston
2502790,boston
2502880,boston
2502940,boston
2503030,boston
2503150,boston
2503270,boston
2503300,boston
2503330,boston
2503780,boston
2503840,boston
2503870,boston
2504050,boston
2504200,boston
2504260,boston
2504290,boston
2504410,boston
2504440,boston
2504620,boston
2504950,boston
2505010,boston
2505220,boston
2505610,boston
2505670,boston
2505790,boston
2505880,boston
2506090,boston
2506150,boston
2506240,boston
2506330,boston
2506390,boston
2506510,boston
2506540,boston
2506840,boston
2506900,boston
2506930,boston
2506960,boston
2507140,boston
2507170,boston
2507230,boston
2507290,boston
2507410,boston
2507470,boston
2507530,boston
2507590,boston
2507620,boston
2507680,boston
2507830,boston
2507920,boston
2507980,boston
2508310,boston
2508340,boston
2508370,boston
2508580,boston
2508610,boston
2508640,boston
2508700,boston
2508730,boston
2508820,boston
2508910,boston
2509000,boston
2509030,boston
2509060,boston
2509150,boston
2509420,boston
2509450,boston
2509690,boston
2509780,boston
2509870,boston
2509990,boston
2510140,boston
2510200,boston
2510560,boston
2510590,boston
2510620,boston
2510830,boston
2510860,boston
2510890,boston
2510980,boston
2511220,boston
2511340,boston
2511460,boston
2511580,boston
2511740,boston
2511910,boston
2511970,boston
2512210,boston
2512270,boston
2512420,boston
2512660,boston
2512750,boston
2512810,boston
2513050,boston
2513110,boston
2513170,boston
2513290,boston
2525010,boston
3602430,buffalo
3602550,buffalo
3602920,buffalo
3603420,buffalo
3605850,buffalo
3607020,buffalo
3607230,buffalo
3607590,buffalo
3607680,buffalo
3608970,buffalo
3609030,buffalo
3609540,buffalo
3610170,buffalo
3611670,buffalo
3612390,buffalo
3612990,buffalo
3613350,buffalo
3614550,buffalo
3615360,buffalo
3616230,buffalo
3616440,buffalo
3616560,buffalo
3616680,buffalo
3618600,buffalo
3620970,buffalo
3621900,buffalo
3627000,buffalo
3628500,buffalo
3628740,buffalo
3630780,buffalo
3631470,buffalo
2500043,cape cod
2500544,cape cod
2502310,cape cod
2502820,cape cod
2502970,cape cod
2504530,cape cod
2504560,cape cod
2504650,cape cod
2504860,cape cod
2505340,cape cod
2507380,cape cod
2507440,cape cod
2508250,cape cod
2509090,cape cod
2510470,cape cod
3702970,charlotte
3904354,cleveland
3904355,cleveland
3904360,cleveland
3904364,cleveland
3904365,cleveland
3904378,cleveland
3904379,cleveland
3904395,cleveland
3904397,cleveland
3904419,cleveland
3904437,cleveland
3904452,cleveland
3904454,cleveland
3904463,cleveland
3904470,cleveland
3904475,cleveland
3904479,cleveland
3904484,cleveland
3904500,cleveland
3904506,cleveland
3904528,cleveland
3904655,cleveland
3904656,cleveland
3904657,cleveland
3904659,cleveland
3904660,cleveland
3910016,cleveland
3910017,cleveland
3904674,columbus
3904702,columbus
3904362,columbus
3904699,columbus
3904676,columbus
3904701,columbus
