state,district_id,district
12,1200180,Broward County School District
12,1200240,Charlotte County School District
12,1200330,Collier County School District
12,1200390,Dade County School District
12,1200420,DeSoto County School District
12,1200660,Glades County School District
12,1200750,Hardee County School District
12,1200780,Hendry County School District
12,1200840,Highlands County School District
12,1200870,Hillsborough County School District
12,1200930,Indian River County School District
12,1201080,Lee County School District
12,1201230,Manatee County School District
12,1201290,Martin County School District
12,1201320,Monroe County School District
12,1201410,Okeechobee County School District
12,1201470,Osceola County School District
12,1201500,Palm Beach County School District
12,1201560,Pinellas County School District
12,1201590,Polk County School District
12,1201680,Sarasota County School District
12,1201770,St. Lucie County School District
48,4843650,United Independent School District
48,4844810,Webb Consolidated Independent School District
48,4839000,San Perlita Independent School District
48,4837740,Roma Independent School District
48,4824750,Jim Hogg County Independent School District
48,4826850,Lasara Independent School District
48,4827990,London Independent School District
48,4838820,San Diego Independent School District
48,4899130,Benavides Independent School District
48,4808550,Aransas County Independent School District
48,4835370,Port Aransas Independent School District
48,4807530,Agua Dulce Independent School District
48,4810260,Bishop Consolidated Independent School District
48,4843350,Tuloso-Midway Independent School District
48,4817550,Driscoll Independent School District
48,4837440,Robstown Independent School District
48,4845120,West Oso Independent School District
48,4819380,Flour Bluff Independent School District
48,4824180,Ingleside Independent School District
48,4826070,La Gloria Independent School District
48,4836420,Ramirez Common School District
48,4829400,Mathis Independent School District
48,4840410,Skidmore-Tynan Independent School District
48,4835760,Premont Independent School District
48,4809870,Ben Bolt-Palito Blanco Independent School District
48,4846380,Woodsboro Independent School District
48,4807800,Alice Independent School District
48,4833720,Orange Grove Independent School District
48,4837320,Riviera Independent School District
48,4811580,Brooks County Independent School District
48,4842060,Taft Independent School District
48,4808580,Aransas Pass Independent School District
48,4821780,Gregory-Portland Independent School District
48,4840350,Sinton Independent School District
48,4831230,Monte Alto Independent School District
48,4839930,Sharyland Independent School District
48,4843800,Valley View Independent School District
48,4844960,Weslaco Independent School District
48,4833360,Odem-Edroy Independent School District
48,4818060,Edcouch-Elsa Independent School District
48,4826340,La Villa Independent School District
48,4829670,McAllen Independent School District
48,4830250,Mercedes Independent School District
48,4809410,Banquete Independent School District
48,4822530,Harlingen Consolidated Independent School District
48,4828290,Los Fresnos Consolidated Independent School District
48,4838790,San Benito Consolidated Independent School District
48,4812420,Calallen Independent School District
48,4815270,Corpus Christi Independent School District
48,4817390,Donna Independent School District
48,4823100,Hidalgo Independent School District
48,4828620,Lyford Consolidated Independent School District
48,4834860,Pharr-San Juan-Alamo Independent School District
48,4826040,La Feria Independent School District
48,4837170,Rio Hondo Independent School District
48,4839360,Santa Rosa Independent School District
48,4835250,Point Isabel Independent School District
48,4819820,Freer Independent School District
48,4836930,Ricardo Independent School District
48,4839300,Santa Gertrudis Independent School District
48,4825680,Kingsville Independent School District
48,4826790,Laredo Independent School District
48,4837140,Rio Grande City Consolidated Independent School District
48,4838910,San Isidro Independent School District
48,4818180,Edinburg Consolidated Independent School District
48,4826130,La Joya Independent School District
48,4831040,Mission Consolidated Independent School District
48,4835910,Progreso Independent School District
48,4836540,Raymondville Independent School District
48,4825410,Kenedy County-Wide Common School District
48,4811680,Brownsville Independent School District
48,4839330,Santa Maria Independent School District
48,4846710,Zapata County Independent School District
60,6000030,American Samoa Department of Education
72,7200030,Puerto Rico Department of Education
78,7800030,Virgin Islands Department of Education
66,6600040,Guam Department of Education
69,6900030,Commonwealth of the Northern Mariana Islands Public School System
04,0407530,Santa Cruz Valley Union High School District
04,0401740,Casa Grande Union High School District
04,0401160,Bicentennial Union High School District
04,0400720,Antelope Union High School District
04,0409630,Yuma Union High School District
04,0400082,Colorado River Union High School District
04,0400450,Agua Fria Union High School District
04,0401410,Buckeye Union High School District
04,0403450,Glendale Union High School District
04,0406330,Phoenix Union High School District
04,0408340,Tempe Union High School District
04,0408520,Tolleson Union High School District
04,0405070,Mingus Union High School District
04,0408910,Valley Union High School District
04,0406030,Patagonia Union High School District
06,0629130,Oroville Union High School District
06,0606005,Scott Valley Unified School District (9-12)
06,0602630,Anaheim Union High School District
06,0618060,Huntington Beach Union High School District
06,0630250,Petaluma Joint Union High School District
06,0635110,San Rafael City High School District
06,0638790,Tamalpais Union High School District
06,0630210,Perris Union High School District
06,0612070,El Dorado Union High School District
06,0606034,Perris Union High School District (9-12)
06,0642350,Wheatland Union High School District
06,0611820,East Side Union High School District
06,0626310,Mountain View-Los Altos Union School District
06,0614430,Fremont Union High School District
06,0622800,Los Gatos-Saratoga Joint Union School District
06,0607230,Campbell Union High School District
06,0638730,Taft Union High School District
06,0641430,Wasco Union High School District
06,0621270,Le Grand Union High School District
06,0624660,Merced Union High School District
06,0606038,Healdsburg Unified School District (7-12)
06,0609810,Corning Union High School District
06,0632010,Red Bluff Joint Union High School District
06,0614760,Fullerton Joint Union High School District
06,0608160,Chaffey Joint Union High School District
06,0606006,Trinity Alps Unified School District (9-12)
06,0606025,Hamilton Unified School District (9-12)
06,0606003,Twin Rivers Unified School District (9-12)
06,0606004,Twin Rivers Unified School District (7-12)
06,0602670,West Sonoma County Union High School District
06,0635830,Santa Rosa High School District
06,0621060,Lassen Union High School District
06,0606026,Woodlake Unified School District (9-12)
06,0606028,Exeter Unified School District (9-12)
06,0635670,Santa Maria Joint Union High School District
06,0635850,Santa Ynez Valley Union High School District
06,0611700,Dunsmuir Joint Union High School District
06,0619830,Kingsburg Joint Union High School District
06,0634140,San Benito High School District
06,0603030,Northern Humboldt Union High School District
06,0614190,Fortuna Union High School District
06,0607920,Centinela Valley Union High School District
06,0642510,William S. Hart Union High School District
06,0608550,Chowchilla Union High School District
06,0606053,Gonzales Unified School District (9-12)
06,0625150,Modesto City High School District
06,0606018,Washington Unified School District (9-12)
06,0606016,Dinuba Unified School District (9-12)
06,0618930,Jefferson Union High School District
06,0636972,Victor Valley Union High School District
06,0606019,Santa Barbara Unified School District (7-12)
06,0614820,Galt Joint Union High School District
06,0626880,Nevada Joint Union High School District
06,0612910,Escondido Union High School District
06,0613530,Fallbrook Union High School District
06,0616230,Grossmont Union High School District
06,0619110,Julian Union High School District
06,0634380,San Dieguito Union High School District
06,0638640,Sweetwater Union High School District
06,0610860,Delano Joint Union High School District
06,0639930,Tulare Joint Union High School District
06,0606107,Porterville Unified School District (9-12)
06,0601650,Acalanes Union High School District
06,0621600,Liberty Union High School District
06,0608010,Central Union High School District
06,0606020,Lammersville Joint Unified School District (9-12)
06,0602820,Antelope Valley Union Joint High School District
06,0606037,Alhambra Unified School District (9-12)
06,0612120,El Monte Union High School District
06,0642480,Whittier Union High School District
06,0606022,Santa Paula Unified School District (9-12)
06,0605940,Bret Harte Union High School District
06,0611780,East Nicolaus Joint Union High School District
06,0638610,Sutter Union High School District
06,0634980,San Mateo Union High School District
06,0636390,Sequoia Union High School District
06,0619650,South Monterey County Joint Union High School District
06,0633980,Salinas Union High School District
06,0616500,Hanford Joint Union High School District
06,0621400,Lemoore Union High School District
06,0630750,Placer Union High School District
06,0633630,Roseville Joint Union High School District
06,0606013,Turlock Unified School District (9-12)
06,0606021,Bishop Unified School District (9-12)
06,0636940,Siskiyou Union High School District
06,0643410,Yreka Union High School District
06,0606001,Yosemite Unified School District (9-12)
06,0635600,Santa Cruz City High School District
06,0636600,Shasta Union High School District
06,0606031,Tracy Unified School District (9-12)
06,0619540,Kern High School District
06,0631230,Point Arena Joint Union High School District
06,0605820,Brawley Union High School District
06,0606015,Santa Cruz City High School District (9-12)
06,0602700,Anderson Union High School District
06,0629270,Oxnard Union High School District
06,0637260,Sonora Union High School District
06,0638280,Summerville Union High School District
06,0699013,Oakdale Joint Unified School District (9-12)
06,0699012,Hughson Unified School District (9-12)
06,0699003,Riverdale Joint Unified School District (9-12)
06,0699004,Sierra Unified School District (9-12)
06,0699005,Orland Joint Unified School District (9-12)
06,0699008,Upper Lake Unified School District (9-12)
06,0699011,Santa Cruz City High School District (6-12)
06,0699014,Nevada Joint Union High School District (9-12)
06,0699001,Gridley Unified School District (9-12)
06,0699007,Eureka City Unified School District (9-12)
06,0699006,Eureka City Unified School District (7-12)
06,0699009,Coast Unified School District (9-12)
06,0699010,Paso Robles Joint Unified School District (9-12)
06,0699002,Caruthers Unified School District (9-12)
27,2727001,Park Rapids Public School District in Pine Point (9-12)
30,3011260,Fort Benton High School District
30,3013590,Havre High School District
30,3028911,Rocky Boy High School District
30,3000101,Chester-Joplin-Inverness High School District
30,3008340,Dawson High School District
30,3022410,Richey High School District
30,3025050,Stevensville High School District
30,3003900,Billings High School District
30,3015120,Jefferson High School District
30,3027840,Whitehall High School District
30,3005040,Brockton High School District
30,3020100,Park High School District
30,3003840,Bigfork High School District
30,3016770,Lincoln County High School District
30,3026580,Troy High School District
30,3006330,Choteau High School District
30,3010170,Fairfield High School District
30,3021540,Power High School District
30,3018540,Missoula High School District
30,3013340,Hardin High School District
30,3013360,Plenty Coups High School District
30,3017040,Lodge Grass High School District
30,3026100,Thompson Falls High School District
30,3005610,Carter County High School District
30,3025560,Sweet Grass County High School District
30,3003090,Beaverhead County High School District
30,3007860,Culbertson High School District
30,3011580,Froid High School District
30,3021270,Poplar High School District
30,3010530,Fergus High School District
30,3019500,Noxon High School District
30,3007140,Columbia Falls High School District
30,3015420,Flathead High School District
30,3027790,Whitefish High School District
30,3016020,Lambert High School District
30,3023550,Savage High School District
30,3024230,Sidney High School District
30,3000933,Shields Valley High School District
30,3003330,Belgrade High School District
30,3004590,Bozeman High School District
30,3017640,Manhattan High School District
30,3026190,Three Forks High School District
30,3028170,Willow Creek High School District
30,3013400,Harlem High School District
30,3006270,Chinook High School District
30,3026670,Turner High School District
30,3005310,Butte High School District
30,3004860,Powder River County High School District
30,3023400,Saco High School District
30,3007930,Custer County High School District
30,3016230,Laurel High School District
30,3023970,Shepherd High School District
30,3006810,Circle High School District
30,3010290,Fairview High School District
30,3011880,Garfield County High School District
30,3003450,Belt High School District
30,3005910,Cascade High School District
30,3013050,Great Falls High School District
30,3024330,Simms High School District
30,3025140,Centerville High School District
30,3023910,Shelby High School District
30,3012990,Grass Range High School District
30,3008850,Denton High School District
30,3018900,Moore High School District
30,3015390,Judith Gap High School District
30,3028620,Wolf Point High School District
30,3002030,Anaconda High School District
30,3021450,Powell County High School District
30,3001740,Absarokee High School District
30,3004920,Broadview High School District
30,3007200,Columbus High School District
30,3020070,Park City High School District
30,3021900,Rapelje High School District
30,3022260,Reed Point High School District
30,3002450,Augusta High School District
30,3013830,Helena High School District
30,3002250,Arlee High School District
30,3006115,Charlo High School District
30,3021090,Polson High School District
30,3022800,Ronan High School District
30,3007320,Conrad High School District
30,3027090,Valier High School District
30,3007080,Colstrip High School District
30,3011190,Forsyth High School District
30,3000095,Lame Deer High School District
30,3018270,Melstone High School District
30,3000097,North Star High School District
30,3004500,Box Elder High School District
30,3011460,Frazer High School District
30,3014370,Hinsdale High School District
30,3009210,Drummond High School District
30,3011850,Gardiner High School District
30,3024180,Sheridan High School District
30,3015260,Joliet High School District
30,3022110,Red Lodge High School District
30,3005190,Browning High School District
30,3008190,Cut Bank High School District
30,3023070,Roundup High School District
41,4103630,Harney County Union High School District 1J
48,4848285,Hallettsville Independent School District (9-12) in Vysehrad
56,5600960,Fremont County School District 38
04,0400004,Clarkdale-Jerome Elementary District
04,0400005,Salome Consolidated Elementary District
04,0400022,Vernon Elementary District
04,0400480,Aguila Elementary District
04,0400600,Alhambra Elementary District
04,0400630,Alpine Elementary District
04,0400750,Apache Elementary District
04,0400840,Arlington Elementary District
04,0400870,Ash Creek Elementary District
04,0400960,Avondale Elementary District
04,0401050,Balsz Elementary District
04,0401080,Beaver Creek Elementary District
04,0401230,Blue Elementary District
04,0401260,Bonita Elementary District
04,0401290,Bouse Elementary District
04,0401380,Buckeye Elementary District
04,0401500,Bullhead City School District
04,0401650,Canon Elementary District
04,0401680,Cartwright Elementary District
04,0401710,Casa Grande Elementary District
