district_id,district,high_schools,hs_with_ap,pct_hs_with_ap,d_ap_enroll,d_ap_enroll_latinx,d_ap_enroll_native,d_ap_enroll_asian,d_ap_enroll_hawpi,d_ap_enroll_black,d_ap_enroll_white,d_ap_enroll_twoplus,d_hs_enroll,d_hs_enroll_latinx,d_hs_enroll_native,d_hs_enroll_asian,d_hs_enroll_hawpi,d_hs_enroll_black,d_hs_enroll_white,d_hs_enroll_twoplus,pct_ap_enroll_d,pct_latinx_ap_enroll_d,pct_native_ap_enroll_d,pct_asian_ap_enroll_d,pct_hawpi_ap_enroll_d,pct_black_ap_enroll_d,pct_white_ap_enroll_d,pct_twoplus_ap_enroll_d,schools,schools_with_oos,pct_oos_d,pct_latinx_oos_d,pct_native_oos_d,pct_asian_oos_d,pct_hawpi_oos_d,pct_black_oos_d,pct_white_oos_d,pct_twoplus_oos_d
0100005,Albertville City,1,1,1,227,88,1,1,0,4,130,3,1607,786,2,6,0,66,705,38,0.14,0.11,0.5,0.17,NA,0.06,0.18,0.08,6,6,0.02,0.02,0.06,0,0,0.03,0.02,0.04
0100006,Marshall County,4,4,1,249,70,2,2,0,2,173,0,2261,594,8,10,4,46,1613,0,0.11,0.12,0.25,0.2,0,0.04,0.11,NA,12,12,0.01,0,0,0,0,0,0.01,NA
0100007,Hoover City,2,2,1,409,22,0,63,0,47,257,20,4536,464,4,284,1,1126,2466,229,0.09,0.05,0,0.22,0,0.04,0.1,0.09,16,16,0,0.01,0,0,0,0.01,0,0
0100008,Madison City,2,2,1,495,22,7,133,4,49,279,1,4031,266,37,409,13,906,2443,2,0.12,0.08,0.19,0.33,0.31,0.05,0.11,0.5,11,11,0.01,0,0.01,0,0,0.01,0.01,0
0100011,Leeds City,1,1,1,83,9,0,1,0,15,58,0,559,80,0,6,0,146,336,11,0.15,0.11,NA,0.17,NA,0.1,0.17,0,4,4,0.04,0.03,0.12,0,0,0.08,0.03,0
0100012,Boaz City,1,1,1,98,0,26,1,2,5,63,1,693,0,196,3,12,30,443,17,0.14,NA,0.13,0.33,0.17,0.17,0.14,0.06,5,5,0,NA,0,0,0,0.01,0,0
0100013,Trussville City,1,1,1,705,0,3,26,0,134,542,0,1550,27,3,38,0,216,1221,28,0.45,0,1,0.68,NA,0.62,0.44,0,5,5,0.01,0,0,0,0,0.02,0,0.02
0100030,Alexander City,1,1,1,130,0,0,10,0,15,105,0,805,2,7,14,3,314,470,0,0.16,0,0,0.71,0,0.05,0.22,NA,5,5,0.07,0,0,0.06,0.25,0.11,0.04,NA
0100060,Andalusia City,1,1,1,1,0,0,1,0,0,0,0,510,0,0,12,1,164,352,0,0,NA,NA,0.08,0,0,0,NA,3,3,0,0,0,0,0,0.01,0,0
0100090,Anniston City,1,1,1,89,0,0,0,0,87,2,0,437,18,0,1,8,406,40,1,0.2,0,NA,0,0,0.21,0.05,0,6,6,0.04,0,0,0,0,0.05,0,0
0100100,Arab City,1,1,1,161,6,1,3,0,0,148,3,757,20,1,8,0,0,723,5,0.21,0.3,1,0.38,NA,NA,0.2,0.6,4,4,0.01,0,0,0,0,0.1,0.02,0
0100120,Athens City,2,2,1,123,1,4,6,1,7,104,0,1753,201,15,17,2,212,1195,87,0.07,0,0.27,0.35,0.5,0.03,0.09,0,8,8,0.01,0.01,0.06,0.04,0,0.03,0.01,0
0100180,Attalla City,1,1,1,48,6,0,0,0,6,35,1,499,50,0,1,0,96,347,18,0.1,0.12,NA,0,NA,0.06,0.1,0.06,3,3,0.01,0.01,0,0,0,0.01,0.01,0
0100185,Saraland City,1,1,1,229,6,8,12,0,16,187,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA
0100188,Chickasaw City,1,1,1,7,0,0,0,0,1,6,0,535,30,5,0,0,310,215,8,0.01,0,0,NA,NA,0,0.03,0,4,3,0.04,0.01,0,0,0,0.07,0.01,0.1
0100189,Satsuma City,1,1,1,0,0,0,0,0,0,0,0,773,9,20,11,1,86,645,9,0,0,0,0,0,0,0,0,2,2,0.02,0.04,0,0.06,0,0.02,0.02,0
