district_id,schools_with_ap,d_ap_enroll_race,pct_latinx_ap_enroll_d_race,pct_native_ap_enroll_d_race,pct_asian_ap_enroll_d_race,pct_hawpi_ap_enroll_d_race,pct_black_ap_enroll_d_race,pct_white_ap_enroll_d_race,d_oos_race,pct_latinx_oos_d_race,pct_native_oos_d_race,pct_asian_oos_d_race,pct_hawpi_oos_d_race,pct_black_oos_d_race,pct_white_oos_d_race
0100005,1,227,0.39,0,0,0,0.02,0.57,135,0.56,0.01,0,0,0.05,0.34
0100006,4,249,0.28,0.01,0.01,0,0.01,0.69,60,0.12,0,0,0,0,0.88
0100007,2,409,0.05,0,0.15,0,0.11,0.63,56,0.21,0,0.04,0,0.32,0.41
0100008,2,495,0.04,0.01,0.27,0.01,0.1,0.56,71,0,0.01,0.01,0,0.35,0.62
0100011,1,83,0.11,0,0.01,0,0.18,0.7,84,0.1,0.01,0,0,0.51,0.38
0100012,1,98,0,0.27,0.01,0.02,0.05,0.64,6,0,0.5,0,0,0.17,0.33
0100013,1,705,0,0,0.04,0,0.19,0.77,25,0,0,0,0,0.4,0.52
0100030,1,130,0,0,0.08,0,0.12,0.81,209,0,0,0.01,0,0.65,0.33
0100060,1,1,0,0,1,0,0,0,4,0,0,0,0,0.75,0.25
0100090,1,89,0,0,0,0,0.98,0.02,79,0,0,0,0,1,0
0100100,1,161,0.04,0.01,0.02,0,0,0.92,39,0,0,0,0,0.05,0.95
0100120,2,123,0.01,0.03,0.05,0.01,0.06,0.85,59,0.15,0.03,0.03,0,0.37,0.41
0100180,1,48,0.12,0,0,0,0.12,0.73,19,0.05,0,0,0,0.21,0.74
0100185,1,229,0.03,0.03,0.05,0,0.07,0.82,100,0,0.02,0.02,0,0.27,0.69
0100188,1,7,0,0,0,0,0.14,0.86,117,0.01,0,0,0,0.86,0.09
0100190,1,663,0.16,0,0.02,0,0.18,0.63,212,0.23,0,0.01,0,0.24,0.51
0100194,1,254,0.19,0,0.04,0,0.17,0.6,53,0.21,0,0,0,0.23,0.57
0100195,1,149,0.05,0.01,0.09,0,0.24,0.6,35,0.09,0,0,0,0.54,0.37
0100202,1,78,0.09,0,0.06,0,0,0.83,98,0.12,0,0.01,0,0.06,0.76
0100210,2,740,0.05,0.02,0.01,0,0.09,0.84,112,0.04,0.01,0.01,0,0.65,0.28
0100240,3,349,0,0,0.05,0,0.1,0.84,85,0.04,0,0.01,0,0.4,0.55
0100270,9,1283,0.07,0,0.03,0,0.04,0.79,1371,0.12,0,0,0,0.2,0.59
0100300,1,1,0,0,0,0,1,0,7,0,0,0,0,1,0
0100360,2,71,0.04,0.01,0,0,0.17,0.77,160,0.01,0.01,0,0,0.29,0.69
0100390,7,595,0.02,0,0,0,0.98,0,294,0.01,0,0,0,0.98,0
0100420,1,64,0.08,0,0.03,0,0,0.89,66,0.11,0,0,0,0.02,0.88
0100450,1,61,0.02,0.02,0,0,0.1,0.87,42,0,0,0,0,0.4,0.6
0100480,1,123,0.06,0,0,0,0.94,0,2,0,0,0,0,1,0
0100510,1,2,0,0,0.5,0,0,0.5,121,0,0,0,0,0.78,0.22
0100540,4,65,0.02,0,0,0,0.15,0.83,212,0.02,0,0,0,0.25,0.73
0100600,1,2,0,0,0,0,0,1,179,0.01,0,0,0,0.63,0.36
0100630,1,57,0,0.12,0,0,0.04,0.84,120,0,0.01,0,0,0.06,0.92
0100660,3,160,0.03,0.03,0.04,0.01,0.13,0.75,256,0.01,0.04,0,0.01,0.3,0.62
0100690,2,25,0.04,0,0,0,0.6,0.36,7,0,0,0,0,0.86,0.14
0100720,1,8,0,0,0,0,0.5,0.5,107,0,0,0,0,0.73,0.27
0100750,1,19,0,0,0,0,0.26,0.74,26,0,0.04,0,0,0.15,0.81
0100780,1,71,0.01,0,0,0,0.08,0.87,40,0,0,0,0,0.07,0.92
0100840,1,29,0,0,0,0.03,0.1,0.86,34,0.03,0,0,0,0.18,0.79
0100870,1,1,0,0,0,0,0,1,79,0,0.01,0,0,0.94,0.05
0100990,1,167,0.02,0,0.04,0,0.01,0.9,5,0.2,0,0,0,0.2,0.6
0101020,3,145,0.1,0.02,0.01,0,0.01,0.87,72,0.06,0,0,0,0.01,0.93
0101080,1,56,0.05,0,0.02,0,0.43,0.48,35,0.06,0.03,0,0,0.51,0.4
0101140,7,358,0.26,0.14,0,0,0.01,0.58,72,0.26,0.07,0,0,0.03,0.64
0101170,2,403,0.2,0,0.02,0,0.12,0.63,11,0.09,0,0,0,0.73,0.09
0101200,1,91,0.02,0,0.03,0,0.27,0.65,75,0.01,0,0,0,0.77,0.21
0101230,1,270,0.09,0.01,0.04,0,0.29,0.57,547,0,0,0,0,0.87,0.13
0101290,5,566,0,0,0.03,0,0.16,0.8,10,0,0,0,0,0.4,0.6
0101320,1,513,0.05,0.03,0.07,0.01,0.12,0.73,223,0.07,0.02,0.01,0,0.48,0.41
0101350,1,20,0,0,0,0,0.5,0.5,86,0,0,0,0,0.47,0.47
0101380,5,206,0.02,0,0.05,0,0,0.91,144,0,0,0,0.01,0.02,0.97
0101410,1,260,0,0,0.03,0,0.32,0.65,133,0,0,0,0,0.85,0.14
0101440,1,62,0,0,0,0,1,0,90,0,0,0,0,1,0
0101470,1,60,0,0,0.03,0,0.23,0.68,83,0,0,0,0,0.23,0.76
0101530,1,451,0.06,0,0.04,0,0.13,0.77,208,0.04,0,0,0,0.66,0.3
0101560,1,36,0.22,0.03,0,0,0.03,0.72,72,0.44,0.04,0,0,0.04,0.47
0101590,2,40,0.07,0,0,0,0.03,0.88,36,0.03,0,0,0,0.03,0.94
0101620,1,193,0,0,0.05,0,0.23,0.7,140,0.1,0,0,0,0.69,0.21
0101640,1,79,0,0,0.01,0,0.08,0.91,23,0.04,0,0,0,0.13,0.78
0101690,1,88,0.11,0,0.03,0,0.03,0.8,66,0.06,0,0,0.03,0.21,0.67
0101710,2,43,0.05,0,0,0,0.91,0.05,20,0,0,0,0,0.8,0.2
0101720,1,62,0.02,0,0.03,0,0,0.94,5,0.2,0,0,0,0,0.8
0101730,1,145,0.03,0.02,0.03,0.01,0.03,0.88,20,0,0,0,0,0,1
0101740,1,79,0.01,0,0.03,0,0.09,0.87,1,0,0,0,0,0,0
0101760,1,411,0.08,0,0.03,0,0.07,0.78,24,0.38,0,0.04,0,0.29,0.21
0101800,6,1787,0.08,0,0.04,0,0.21,0.59,420,0.11,0,0,0,0.66,0.15
0101830,5,133,0,0.19,0.01,0,0.1,0.71,18,0,0.17,0,0,0.06,0.78
0101860,1,74,0.05,0,0,0,0.18,0.77,48,0,0,0,0,0.44,0.56
0101890,1,70,0.04,0,0.06,0,0.06,0.83,21,0,0,0,0,0.29,0.71
0101920,13,2244,0.05,0,0.01,0,0.4,0.53,1108,0.06,0,0,0,0.72,0.21
0101950,3,182,0.01,0,0,0,0.06,0.92,40,0,0,0,0,0.25,0.75
0101980,1,20,0.1,0.05,0,0,0.75,0.1,24,0,0,0,0,1,0
0102010,6,120,0,0,0,0,0.02,0.98,36,0,0,0.03,0,0.14,0.83
0102040,4,501,0.04,0.14,0.01,0,0.14,0.66,0,NA,NA,NA,NA,NA,NA
