year,district_id,leaname,ds_wht_blk,ds_wht_hsp,ds_wht_asn,ds_wht_nam,ds_wht_min,ds_was_min,ds_wht_nwh,ds_flu_nfl,ds_frl_nfr,state,district
2022,0100005,Albertville City,0,0,0,0,0,NA,0,NA,NA,01,Albertville City School District
2022,0100006,Marshall County,0.382737219,0.459688365,0.577345073,0.446987867,0.442091733,0.442161202,0.434353083,0.245837376,0.289138317,01,Marshall County School District
2022,0100007,Hoover City,0.178646147,0.210903212,0.209901974,0.604382396,0.174202859,0.17382735,0.150949836,0.181669876,0.193613693,01,Hoover City School District
2022,0100008,Madison City,0.077398442,0.083139569,0.138967961,0.45318216099999997,0.066292986,0.06888485,0.054529443,0.062682018,0.066187754,01,Madison City School District
2022,0100011,Leeds City,0,0,0,0,0,NA,0,NA,NA,01,Leeds City School District
2022,0100012,Boaz City,0,0,0,0,0,NA,0,NA,NA,01,Boaz City School District
2022,0100013,Trussville City,0.089398585,0.069557644,0.149908841,0.249074891,0.064181082,0.119847707,0.055250321,0.044049058,0.049738929,01,Trussville City School District
2022,0100030,Alexander City,0,0,0,NA,0,NA,0,NA,NA,01,Alexander City City School District
2022,0100060,Andalusia City,0,0,0,0,0,NA,0,NA,NA,01,Andalusia City School District
2022,0100090,Anniston City,0.168396011,0.133240864,0,NA,0.165585816,0.324645221,0.165585816,0.286408424,0.370612621,01,Anniston City School District
2022,0100100,Arab City,0,0,0,0,0,NA,0,NA,NA,01,Arab City School District
2022,0100120,Athens City,0.091852963,0.119189911,0.22583811,0.220412597,0.103846937,0.247563526,0.093368746,0.223640636,0.234904483,01,Athens City School District
2022,0100180,Attalla City,0,0,0,0,0,NA,0,NA,NA,01,Attalla City School District
2022,0100185,Saraland City,0,0,0,0,0,NA,0,NA,NA,01,Saraland City School District
2022,0100188,Chickasaw City,0,0,NA,0,0,NA,0,NA,NA,01,Chickasaw City School District
2022,0100189,Satsuma City,0,0,0,0,0,NA,0,NA,NA,01,Satsuma City School District
2022,0100190,Alabaster City,0.024070008,0.03902591,0.109027192,0.08908169,0.026850088,0.075307034,0.023110777,0.042744212,0.041042838,01,Alabaster City School District
2022,0100194,Pelham City,0.059088774,0.090431593,0.08006344,0.022372227,0.054763164,0.090634473,0.054063756,0.093237862,0.117088079,01,Pelham City School District
2022,0100195,Pike Road City,0,0,0,0,0,NA,0,NA,NA,01,Pike Road City School District
2022,0100202,Gulf Shores City,0,0,0,0,0,NA,0,NA,NA,01,Gulf Shores City School District
2022,0100210,Auburn City,0.066478342,0.086160548,0.09871088,0,0.049857516,0.086826138,0.048194241,0.074603871,0.090317018,01,Auburn City School District
2022,0100240,Autauga County,0.215411901,0.194304049,0.385094762,0.458459765,0.205874354,0.195834115,0.213480607,0.084955014,0.079311393,01,Autauga County School District
2022,0100270,Baldwin County,0.40517512,0.375639379,0.464833379,0.671975434,0.320948094,0.321158558,0.307401538,0.330270946,0.347690493,01,Baldwin County School District
2022,0100300,Barbour County,0,0,0,0,0,NA,0,NA,NA,01,Barbour County School District
2022,0100330,Bessemer City,0.298139811,0.207605869,0,0.609324932,0.263867021,0.369201869,0.26287514,0.212886184,0.334771067,01,Bessemer City School District
2022,0100360,Bibb County,0.446244568,0.147912726,0.511774361,0.50578922,0.342094868,0.341197163,0.341311306,0.119173467,0.091659926,01,Bibb County School District
2022,0100390,Birmingham City,0.556438446,0.585907161,0.806683838,0.840534329,0.54938364,0.512592852,0.549103856,0.275789768,0.404560983,01,Birmingham City School District
2022,0100420,Blount County,0.453423202,0.389625937,0.702295125,0.797584772,0.362746149,0.362684637,0.357458889,0.168979093,0.178754434,01,Blount County School District
2022,0100450,Brewton City,0,0,0,0,0,NA,0,NA,NA,01,Brewton City School District
2022,0100480,Bullock County,0,0,NA,0,0,NA,0,NA,NA,01,Bullock County School District
2022,0100510,Butler County,0.344166726,0.406384945,0.407693356,0.382107228,0.343767911,0.344192594,0.340278029,0.142800733,0.179395467,01,Butler County School District
2022,0100540,Calhoun County,0.394842565,0.360852778,0.513054371,0.764006972,0.32424593,0.324196726,0.312713683,0.205887809,0.217754826,01,Calhoun County School District
2022,0100600,Chambers County,0.271157354,0.271304548,0.249021828,0.333045691,0.252626985,0.251855016,0.252417117,0.230499372,0.290014535,01,Chambers County School District
