year,district_id,leaname,ss_wht_blk,ss_wht_hsp,ss_wht_asn,ss_wht_nam,ss_wht_min,ss_was_min,ss_wht_nwh,ss_blk_wht,ss_hsp_wht,ss_asn_wht,ss_nam_wht,ss_min_wht,ss_nwh_wht,ss_flu_nfl,ss_frl_nfr,state,district
2022,0100005,Albertville City,0.895904303,0.399651349,0.985891044,0.988278687,0.379555374,0.38287273,0.377465308,0.104095683,0.600348651,0.014108991,0.011721332,0.620444596,0.622534692,0.71571207,0.764188111,01,Albertville City School District
2022,0100006,Marshall County,0.979089022,0.763050854,0.992361605,0.992156029,0.74848175,0.749601185,0.744055927,0.037503563,0.424642116,0.02059388,0.016561195,0.430467606,0.430495888,0.705998778,0.777271807,01,Marshall County School District
2022,0100007,Hoover City,0.72299391,0.864046156,0.886331618,0.997906983,0.652183056,0.678274989,0.601999342,0.322434425,0.177771494,0.14492768,0.009913981,0.396263868,0.438897073,0.302525401,0.345569104,01,Hoover City School District
2022,0100008,Madison City,0.752129674,0.866755843,0.865156114,0.993153274,0.67129457,0.702723861,0.607092381,0.25699389,0.14143084,0.148940966,0.012650732,0.336393595,0.399338365,0.208606169,0.236451194,01,Madison City School District
2022,0100011,Leeds City,0.692167759,0.793067634,0.990815699,0.998419762,0.585956097,0.58818984,0.582715392,0.307832241,0.206932336,0.009184327,0.001580257,0.414043903,0.417284608,0.472513586,0.540250242,01,Leeds City School District
2022,0100012,Boaz City,0.959163904,0.546770096,0.956276715,0.991317451,0.532311976,0.543364584,0.519877076,0.040836096,0.453229874,0.043723259,0.008682545,0.467687994,0.480122954,0.671839178,0.720955312,01,Boaz City School District
2022,0100013,Trussville City,0.836461663,0.950648308,0.961582541,0.996952772,0.798867643,0.805409074,0.774682343,0.174990386,0.053407975,0.048234843,0.006266251,0.20887816,0.23213619,0.146769896,0.162539989,01,Trussville City School District
2022,0100030,Alexander City,0.52359587,0.831417263,0.977335274,1,0.473715812,0.479393125,0.468702614,0.47640416,0.168582767,0.022664735,NA,0.526284218,0.531297386,0.660776436,0.702807426,01,Alexander City City School District
2022,0100060,Andalusia City,0.701310873,0.946689308,0.985408008,0.994562507,0.671702087,0.674946785,0.665155709,0.298689127,0.053310703,0.014591984,0.005437501,0.328297913,0.334844291,0.595196664,0.629481375,01,Andalusia City School District
2022,0100090,Anniston City,0.075913548,0.551650167,0.989450336,1,0.071727611,0.072281443,0.071700729,0.937984049,0.510747492,0.01054967,NA,0.941230714,0.941257596,0.869073689,0.917308092,01,Anniston City School District
2022,0100100,Arab City,0.990846634,0.965608835,0.98764652,0.996016383,0.953480244,0.954000711,0.94218713,0.009153389,0.034391142,0.012353464,0.003983593,0.046519779,0.057812836,0.393855929,0.453495771,01,Arab City School District
2022,0100120,Athens City,0.763753772,0.721717298,0.962759614,0.991151214,0.588106871,0.597849131,0.572979152,0.254866362,0.319532305,0.058096066,0.015693709,0.443656325,0.453648448,0.503961205,0.551602125,01,Athens City School District
2022,0100180,Attalla City,0.809696734,0.873081028,0.994997859,0.992331386,0.71992594,0.721007049,0.717580855,0.190303251,0.126918957,0.005002136,0.007668609,0.28007406,0.282419145,0.754374802,0.820948482,01,Attalla City School District
2022,0100185,Saraland City,0.814659119,0.964725673,0.983100235,0.980862856,0.778870046,0.781916618,0.76893115,0.185340852,0.035274349,0.016899776,0.019137155,0.221129939,0.231068864,0.425470442,0.494057447,01,Saraland City School District
2022,0100188,Chickasaw City,0.237585917,0.863515019,1,0.995728314,0.227870017,0.227870017,0.227870017,0.762414098,0.136484966,NA,0.004271712,0.772129953,0.772129953,0.835431457,0.885035932,01,Chickasaw City School District
2022,0100189,Satsuma City,0.912195563,0.98411417,0.990933478,0.973977149,0.876882315,0.878006816,0.870224774,0.087804459,0.015885847,0.00906654,0.02602285,0.123117715,0.129775226,0.42196092,0.477147728,01,Satsuma City School District
2022,0100190,Alabaster City,0.701336324,0.707154155,0.970547259,0.991290331,0.54113698,0.549050808,0.53222841,0.299881786,0.297863841,0.034375157,0.009628232,0.461491585,0.469478726,0.434795141,0.498392999,01,Alabaster City School District
2022,0100194,Pelham City,0.715970159,0.636121273,0.950587392,0.996353567,0.509631693,0.522614241,0.496880829,0.289565295,0.37781325,0.053671259,0.00374113,0.496944547,0.509220302,0.411880493,0.489053816,01,Pelham City School District
2022,0100195,Pike Road City,0.676502287,0.879176319,0.921323776,0.996668994,0.62364918,0.643054724,0.595275819,0.323497713,0.120823659,0.078676224,0.003331023,0.37635085,0.404724211,0.231444612,0.238693222,01,Pike Road City School District
2022,0100202,Gulf Shores City,0.954361677,0.914238453,0.98245424,0.987062216,0.866308451,0.868202984,0.852813244,0.045638323,0.085761562,0.017545749,0.012937806,0.133691594,0.147186771,0.38001129,0.425667495,01,Gulf Shores City School District
2022,0100210,Auburn City,0.703047276,0.874161839,0.839369655,0.99963814,0.637485981,0.676900089,0.566573977,0.308095276,0.134834796,0.176183179,3.61876e-4,0.370919734,0.442765296,0.293514878,0.321739674,01,Auburn City School District
2022,0100240,Autauga County,0.720087528,0.922177196,0.967907369,0.995757937,0.679511964,0.685044885,0.667374551,0.369144976,0.096057765,0.060342632,0.009707868,0.40079385,0.415687114,0.514298916,0.569957137,01,Autauga County School District
2022,0100270,Baldwin County,0.877784789,0.860244691,0.984735906,0.995050788,0.767565608,0.770108223,0.758174539,0.250554144,0.264814138,0.038597446,0.024517048,0.352150112,0.354585618,0.562519252,0.61935389,01,Baldwin County School District
2022,0100300,Barbour County,0.119025968,0.378754944,0.958019376,0.975796044,0.099816702,0.105680376,0.098788418,0.880974054,0.621245086,0.041980632,0.024203939,0.90018332,0.90121156,0.923545122,0.979488909,01,Barbour County School District
