district_id,district,enroll_23,enroll_native_23,aapi_enroll_23,latinx_enroll_23,black_enroll_23,white_enroll_23,hawpi_enroll_23,two_plus_race_enroll_23,student_teacher_ratio_23,hs_students_per_guidance_couselor_23,expend_per_pupil_21,pct_native_23,pct_aapi_23,pct_latinx_23,pct_black_23,pct_white_23,pct_hawpi_23,pct_two_plus_23
1700105,A-C Central Community Unit School District 262,344,0,0,7,2,325,0,10,8.54,140,17577,0,0,0.02,0.006,0.945,0,0.029
2700106,A.C.G.C. Public School District,851,6,6,80,1,723,0,35,12.45,83.04,26016,0.007,0.007,0.094,0.001,0.85,0,0.041
4500690,Abbeville County School District,2864,4,13,52,939,1781,2,73,12.88,71.75,13459,0.001,0.005,0.018,0.328,0.622,0.001,0.025
5500030,Abbotsford School District,798,0,5,501,6,278,0,8,16.33,145.88,12897,0,0.006,0.628,0.008,0.348,0,0.01
4807380,Abbott Independent School District,286,0,0,41,4,236,0,5,11.26,74,14405,0,0,0.143,0.014,0.825,0,0.017
0601620,ABC Unified School District,18354,38,6441,8325,1333,919,97,1197,22.64,272.04,14771,0.002,0.351,0.454,0.073,0.05,0.005,0.065
1600030,Aberdeen School District 58,673,4,1,420,6,236,0,6,13.69,202.8,12013,0.006,0.001,0.624,0.009,0.351,0,0.009
2800360,Aberdeen School District,998,0,4,0,955,23,0,16,11.59,88.74,14179,0,0.004,0,0.957,0.023,0,0.016
5300030,Aberdeen School District,3304,78,36,1156,46,1735,7,246,16.17,125.57,14944,0.024,0.011,0.35,0.014,0.525,0.002,0.074
4602070,Aberdeen School District 06-1,4326,258,191,334,79,3180,26,258,14.27,99.64,11385,0.06,0.044,0.077,0.018,0.735,0.006,0.06
4807410,Abernathy Independent School District,835,0,1,425,14,382,0,13,11.62,81,12831,0,0.001,0.509,0.017,0.457,0,0.016
2003180,Abilene Unified School District 435,1515,6,1,143,6,1305,0,54,16.15,73.5,13159,0.004,0.001,0.094,0.004,0.861,0,0.036
4807440,Abilene Independent School District,15253,36,196,7081,1974,5243,30,693,14.72,108.32,15131,0.002,0.013,0.464,0.129,0.344,0.002,0.045
1701413,Abingdon-Avon Community Unit School District 276,903,2,2,48,11,789,0,51,13.18,142,14904,0.002,0.002,0.053,0.012,0.874,0,0.056
2501650,Abington School District,2177,10,54,305,127,1626,2,46,14.15,138.25,19492,0.005,0.025,0.141,0.059,0.749,0.001,0.021
4202010,Abington Heights School District,3474,3,240,157,55,2946,7,66,16.62,103.09,14865,0.001,0.069,0.045,0.016,0.848,0.002,0.019
4202040,Abington School District,8543,18,555,903,1552,4870,9,636,14.43,125.23,23023,0.002,0.065,0.106,0.182,0.57,0.001,0.074
3001710,Absarokee Elementary School District,107,3,0,5,0,98,0,1,11.08,NA,20000,0.028,0,0.047,0,0.916,0,0.009
3001740,Absarokee High School District,71,1,0,3,0,66,0,1,10.64,202.86,20419,0.014,0,0.042,0,0.93,0,0.014
3400660,Absecon City School District,952,0,56,260,134,456,0,46,10.55,0.67,22297,0,0.059,0.273,0.141,0.479,0,0.048
4807470,Academy Independent School District,1835,6,19,488,110,1112,5,95,15.58,132.5,11071,0.003,0.01,0.266,0.06,0.606,0.003,0.052
0801920,Academy School District 20,25719,81,1083,4136,739,17526,72,2082,15.95,101.34,12661,0.003,0.042,0.161,0.029,0.681,0.003,0.081
2200030,Acadia Parish School District,9601,15,22,509,2327,6221,0,507,18.25,97.04,11823,0.002,0.002,0.053,0.242,0.648,0,0.053
0601650,Acalanes Union High School District,5420,8,907,610,82,3275,9,514,19.22,291.4,17807,0.001,0.168,0.113,0.015,0.606,0.002,0.095
5100060,Accomack County Public Schools,4726,5,27,1179,1703,1714,3,95,12.5,98,12331,0.001,0.006,0.249,0.36,0.363,0.001,0.02
4002370,Achille Public Schools,309,56,0,12,3,188,0,50,14.51,36.22,13839,0.181,0,0.039,0.01,0.608,0,0.162
0601680,Ackerman Elementary School District,596,2,11,96,2,426,0,59,21.02,0,NA,0.003,0.018,0.161,0.003,0.715,0,0.099
2302220,Acton,246,1,1,5,0,229,0,10,11.18,0,27931,0.004,0.004,0.02,0,0.931,0,0.041
0600001,Acton-Agua Dulce Unified School District,1002,6,17,558,19,377,0,24,23.13,180,17890,0.006,0.017,0.557,0.019,0.377,0,0.024
2501710,Acton-Boxborough Regional School District,5197,6,1721,406,155,2629,4,259,13.15,85.75,25110,0.001,0.332,0.078,0.03,0.508,0.001,0.05
2501740,Acushnet School District,973,6,7,54,13,858,1,33,12.8,1.33,21737,0.006,0.007,0.056,0.013,0.883,0.001,0.034
4002430,Ada Public Schools,2657,583,23,370,56,976,4,641,13.73,97.23,10994,0.22,0.009,0.139,0.021,0.368,0.002,0.242
3904518,Ada Exempted Village School District,856,4,7,29,21,761,0,34,NA,NA,13878,0.005,0.008,0.034,0.025,0.889,0,0.04
2700480,Ada-Borup-West Public Schools,685,11,0,83,3,543,0,45,14.54,217,NA,0.016,0,0.121,0.004,0.793,0,0.066
4002460,Adair Public Schools,1041,348,14,59,4,466,2,147,15.47,141.71,10444,0.335,0.013,0.057,0.004,0.448,0.002,0.141
2922980,Adair County R-I School District,232,0,1,0,0,231,0,0,9.28,182.61,17058,0,0.004,0,0,0.996,0,0
2905790,Adair County R-II School District,140,2,0,1,0,134,0,3,5.94,25.5,16734,0.014,0,0.007,0,0.957,0,0.021
2100030,Adair County School District,2622,2,12,152,63,2254,1,138,14.41,163,12663,0.001,0.005,0.058,0.024,0.86,0,0.053
1903090,Adair-Casey Community School District,271,0,2,28,1,229,3,8,11.34,0,18773,0,0.007,0.103,0.004,0.845,0.011,0.03
0806900,Adams 12 Five Star Schools,35747,164,2372,15973,549,14879,49,1761,17.73,85.51,14707,0.005,0.066,0.447,0.015,0.416,0.001,0.049
1800060,Adams Central Community Schools,1340,1,7,63,6,1233,0,30,14.11,93.5,11396,0.001,0.005,0.047,0.004,0.92,0,0.022
3102770,Adams Central Public Schools,1004,0,1,40,3,940,0,20,13.35,139,18287,0,0.001,0.04,0.003,0.936,0,0.02
3906190,Adams County/Ohio Valley Local School District,3546,0,5,31,6,3444,4,56,16.53,186.5,14775,0,0.001,0.009,0.002,0.971,0.001,0.016
2601890,Adams Township School District,466,1,1,3,1,457,0,3,13.87,0,11448,0.002,0.002,0.006,0.002,0.981,0,0.006
5500060,Adams-Friendship Area School District,1315,5,5,120,16,1090,0,79,11.28,104.24,16989,0.004,0.004,0.091,0.012,0.829,0,0.06
3602370,Addison Central School District,1085,0,2,16,4,1046,0,17,11.57,86.25,35306,0,0.002,0.015,0.004,0.964,0,0.016
5000402,Addison Central Unified School District,1770,4,43,3,42,1669,9,0,12.15,49.86,23755,0.002,0.024,0.002,0.024,0.943,0.005,0
2601920,Addison Community Schools,717,1,5,42,5,644,1,19,16.63,116,12429,0.001,0.007,0.059,0.007,0.898,0.001,0.026
5000398,Addison Northwest Unified School District,940,4,12,29,16,871,0,8,11.08,48.1,25937,0.004,0.013,0.031,0.017,0.927,0,0.009
1703150,Addison School District 4,3461,98,140,2369,86,722,0,45,11.85,0,18151,0.028,0.04,0.685,0.025,0.209,0,0.013
1903150,Adel-De Soto-Minburn Community School District,2254,5,15,103,17,2051,2,60,14.97,109.97,17730,0.002,0.007,0.046,0.008,0.91,0.001,0.027
4100990,Adel School District 21,12,0,0,0,0,11,0,1,6,0,18880,0,0,0,0,0.917,0,0.083
0601710,Adelanto Elementary School District,7742,21,86,5244,1440,405,48,498,22.54,0,15044,0.003,0.011,0.677,0.186,0.052,0.006,0.064
3904949,Adena Local School District,1186,0,0,25,15,1085,0,61,20.66,158,12512,0,0,0.021,0.013,0.915,0,0.051
3605040,Adirondack Central School District,1195,0,3,4,9,1165,0,14,13.13,89.25,30009,0,0.003,0.003,0.008,0.975,0,0.012
1732580,Adlai E. Stevenson High School District 125,4489,10,1754,403,77,2101,2,141,17.77,213.76,40686,0.002,0.391,0.09,0.017,0.468,0,0.031
5300060,Adna School District,648,8,8,53,6,562,1,5,17.59,227,15646,0.012,0.012,0.082,0.009,0.874,0.002,0.008
4807500,Adrian Independent School District,120,0,0,80,0,39,0,1,8.11,42,21238,0,0,0.667,0,0.325,0,0.008
2702730,Adrian Public School District,573,1,3,70,6,468,0,25,13.77,88,14238,0.002,0.005,0.122,0.01,0.817,0,0.044
2601950,Adrian City School District,2771,4,22,855,130,1537,0,223,15.76,277,14696,0.001,0.008,0.309,0.047,0.555,0,0.08
2902850,Adrian R-III School District,730,0,6,25,4,695,0,0,13.27,123.53,12870,0,0.008,0.034,0.005,0.952,0,0
4101020,Adrian School District 61,275,0,0,60,0,210,0,5,12.73,86,19945,0,0,0.218,0,0.764,0,0.018
2902880,Advance R-IV School District,420,0,2,7,6,405,0,0,12.52,70,9888,0,0.005,0.017,0.014,0.964,0,0
2902910,Affton 101 School District,2608,1,119,174,237,1889,1,187,14.41,73.9,14046,0,0.046,0.067,0.091,0.724,0,0.072
4002520,Afton Public Schools,477,176,0,19,2,255,0,25,14.77,172,12057,0.369,0,0.04,0.004,0.535,0,0.052
3602400,Afton Central School District,494,0,2,29,12,437,0,13,8.23,55,35641,0,0.004,0.059,0.024,0.886,0,0.026
4600042,Agar-Blunt-Onida School District 58-3,231,16,0,9,2,192,0,12,8.45,37.5,19623,0.069,0,0.039,0.009,0.831,0,0.052
0801980,Agate School District 300,81,0,1,24,0,54,0,2,7.28,0,18014,0,0.012,0.296,0,0.667,0,0.025
2501800,Agawam School District,3492,4,131,414,85,2747,1,101,12.67,118.67,22525,0.001,0.038,0.119,0.024,0.789,0,0.029
4002550,Agra Public Schools,325,28,0,13,4,241,0,39,19.9,81,10047,0.086,0,0.04,0.012,0.742,0,0.12
4807530,Agua Dulce Independent School District,408,0,0,305,3,99,0,1,14.06,140,13406,0,0,0.748,0.007,0.243,0,0.002
0400450,Agua Fria Union High School District,9632,78,313,4923,941,2900,42,435,21.61,356.74,11749,0.008,0.032,0.511,0.098,0.301,0.004,0.045
0400480,Aguila Elementary District,142,0,6,128,3,5,0,0,13.1,0,18212,0,0.042,0.901,0.021,0.035,0,0
0802010,Aguilar Reorganized School District 6,119,0,0,46,0,69,0,4,10.59,58,25460,0,0,0.387,0,0.58,0,0.034
