district_id,district,enroll_24,enroll_native_24,aapi_enroll_24,latinx_enroll_24,black_enroll_24,white_enroll_24,hawpi_enroll_24,two_plus_race_enroll_24,student_teacher_ratio_24,hs_students_per_guidance_couselor_24,expend_per_pupil_22,pct_native_24,pct_aapi_24,pct_latinx_24,pct_black_24,pct_white_24,pct_hawpi_24,pct_two_plus_24
1700105,A-C Central Community Unit School District 262,328,0,0,7,2,312,0,7,9.51,106,17729,0,0,0.021,0.006,0.951,0,0.021
2700106,A.C.G.C. Public School District,880,5,1,108,1,731,0,34,13.82,92.93,17691,0.006,0.001,0.123,0.001,0.831,0,0.039
4500690,Abbeville County School District,2802,9,10,71,916,1710,2,83,13.17,62.85,20782,0.003,0.004,0.025,0.327,0.61,0.001,0.03
5500030,Abbotsford School District,815,0,6,517,5,275,0,12,19.65,177.14,15137,0,0.007,0.634,0.006,0.337,0,0.015
4807380,Abbott Independent School District,284,0,0,43,3,231,0,7,11.63,101.33,13360,0,0,0.151,0.011,0.813,0,0.025
0601620,ABC Unified School District,18081,36,6377,8230,1271,859,99,1203,23.1,191.48,18320,0.002,0.353,0.455,0.07,0.048,0.005,0.067
1600030,Aberdeen School District 58,643,2,1,416,8,208,2,6,13.98,111.5,13255,0.003,0.002,0.647,0.012,0.323,0.003,0.009
2800360,Aberdeen School District,965,0,2,0,921,26,0,16,11.58,108.67,14663,0,0.002,0,0.954,0.027,0,0.017
5300030,Aberdeen School District,3274,76,34,1204,45,1676,6,232,17.95,115.74,19073,0.023,0.01,0.368,0.014,0.512,0.002,0.071
4602070,Aberdeen School District 06-1,4263,271,170,390,90,3039,27,276,14.02,98.15,11519,0.064,0.04,0.091,0.021,0.713,0.006,0.065
4807410,Abernathy Independent School District,812,0,1,423,14,361,0,13,11.03,76,13742,0,0.001,0.521,0.017,0.445,0,0.016
2003180,Abilene Unified School District 435,1469,4,0,145,4,1257,0,59,15.11,76.83,14614,0.003,0,0.099,0.003,0.856,0,0.04
4807440,Abilene Independent School District,14652,44,202,6885,2005,4832,25,659,15.1,107.09,14351,0.003,0.014,0.47,0.137,0.33,0.002,0.045
1701413,Abingdon-Avon Community Unit School District 276,901,3,2,48,15,777,0,56,11.98,92.33,18392,0.003,0.002,0.053,0.017,0.862,0,0.062
2501650,Abington School District,2133,9,54,327,132,1543,2,61,13.44,102.41,25930,0.004,0.025,0.154,0.062,0.725,0.001,0.029
4202010,Abington Heights School District,3461,1,231,166,53,2919,9,82,15.49,93.58,15484,0,0.067,0.048,0.015,0.843,0.003,0.024
4202040,Abington School District,8608,12,605,911,1549,4866,9,656,14.83,111.8,22414,0.001,0.07,0.106,0.18,0.565,0.001,0.076
3001710,Absarokee Elementary School District,125,5,0,4,0,115,0,1,12.29,NA,18652,0.04,0,0.032,0,0.92,0,0.008
3001740,Absarokee High School District,79,1,1,2,0,73,0,2,12.25,239.39,27707,0.013,0.013,0.025,0,0.924,0,0.025
3400660,Absecon City School District,936,0,68,278,121,426,0,43,9.8,0.25,26680,0,0.073,0.297,0.129,0.455,0,0.046
4807470,Academy Independent School District,1814,3,18,497,124,1048,10,114,15.23,121.95,14081,0.002,0.01,0.274,0.068,0.578,0.006,0.063
0801920,Academy School District 20,25674,79,1081,4277,794,17153,75,2215,15.73,100.41,12372,0.003,0.042,0.167,0.031,0.668,0.003,0.086
2200030,Acadia Parish School District,9459,14,17,564,2242,6139,0,483,15.88,98,13439,0.001,0.002,0.06,0.237,0.649,0,0.051
0601650,Acalanes Union High School District,5415,7,905,614,95,3213,9,551,19.44,307.67,20028,0.001,0.168,0.114,0.018,0.596,0.002,0.102
5100060,Accomack County Public Schools,4726,7,38,1164,1739,1656,3,119,11.82,107.79,15423,0.001,0.008,0.246,0.368,0.35,0.001,0.025
4002370,Achille Public Schools,300,55,0,12,3,175,0,55,13.53,60.53,15739,0.183,0,0.04,0.01,0.583,0,0.183
0601680,Ackerman Elementary School District,603,1,11,97,2,433,0,59,21.12,NA,NA,0.002,0.018,0.161,0.003,0.718,0,0.098
2302220,Acton,245,1,1,5,0,230,0,8,12.89,NA,25787,0.004,0.004,0.02,0,0.939,0,0.033
0600001,Acton-Agua Dulce Unified School District,1021,3,18,584,18,371,0,26,19.83,187.5,19495,0.003,0.018,0.573,0.018,0.364,0,0.025
2501710,Acton-Boxborough Regional School District,5099,7,1688,436,144,2521,4,284,12.85,82.3,35574,0.001,0.332,0.086,0.028,0.496,0.001,0.056
2501740,Acushnet School District,937,6,6,59,11,826,0,29,12.53,NA,22302,0.006,0.006,0.063,0.012,0.882,0,0.031
4002430,Ada Public Schools,2660,564,25,389,57,977,3,639,13.92,82.69,12071,0.213,0.009,0.147,0.021,0.368,0.001,0.241
3904518,Ada Exempted Village School District,867,4,6,35,31,752,0,39,15.32,82.67,14257,0.005,0.007,0.04,0.036,0.867,0,0.045
2700480,Ada-Borup-West Public Schools,701,10,1,96,1,544,0,49,14.74,203,17865,0.014,0.001,0.137,0.001,0.776,0,0.07
4002460,Adair Public Schools,1042,336,14,73,4,464,2,149,14.98,143.72,11226,0.322,0.013,0.07,0.004,0.445,0.002,0.143
2922980,Adair County R-I School District,207,0,1,0,0,206,0,0,8.79,164.44,13959,0,0.005,0,0,0.995,0,0
2905790,Adair County R-II School District,152,2,0,1,0,144,0,5,6.37,25,26311,0.013,0,0.007,0,0.947,0,0.033
2100030,Adair County School District,2644,1,11,165,93,2235,1,138,14.22,171.2,12900,0,0.004,0.062,0.035,0.845,0,0.052
1903090,Adair-Casey Community School District,245,0,2,24,0,209,4,6,10.4,0,19830,0,0.008,0.098,0,0.853,0.016,0.024
0806900,Adams 12 Five Star Schools,34998,147,2415,15947,533,14157,39,1749,17.25,88.94,14916,0.004,0.069,0.456,0.015,0.405,0.001,0.05
