district_id,school,enroll_d,frl_enroll_d,pct_frl
0100005,6,5956,2401,0.403
0100006,12,5877,3291,0.56
0100007,16,13606,3234,0.238
0100008,11,12302,1214,0.099
0100011,4,2169,876,0.404
0100012,5,2448,1503,0.614
0100013,5,4941,241,0.049
0100030,4,2490,1112,0.447
0100060,3,1862,848,0.455
0100090,5,1908,1571,0.823
0100100,3,2098,356,0.17
0100120,8,4788,1773,0.37
0100180,3,1523,972,0.638
0100185,4,3261,856,0.262
0100188,3,2441,1739,0.712
0100189,2,1520,619,0.407
0100190,5,6354,1687,0.266
0100194,4,3520,725,0.206
0100195,4,2688,376,0.14
0100197,1,453,326,0.72
0100199,1,586,279,0.476
0100201,1,352,339,0.963
0100202,3,2338,266,0.114
0100203,2,571,365,0.639
0100204,2,517,310,0.6
0100207,1,243,132,0.543
0100208,1,165,70,0.424
0100210,13,9395,2337,0.249
0100211,1,209,31,0.148
0100240,11,8554,2395,0.28
0100270,43,31812,12368,0.389
0100300,3,737,700,0.95
0100330,7,3409,2645,0.776
0100360,8,3076,1507,0.49
0100390,42,21328,17514,0.821
0100420,14,7659,3391,0.443
0100450,2,872,295,0.338
0100480,3,1443,1094,0.758
0100510,6,2927,2080,0.711
0100540,17,8118,3948,0.486
0100600,11,3347,1997,0.597
0100630,7,3895,2085,0.535
0100660,12,7723,4247,0.55
0100690,4,1067,808,0.757
0100720,7,2254,1644,0.729
0100750,4,1826,970,0.531
0100780,7,2517,1155,0.459
0100810,4,2782,1488,0.535
0100840,7,2398,1120,0.467
0100870,7,1513,1072,0.709
0100900,2,788,500,0.635
0100930,8,2982,1577,0.529
0100960,3,2250,1442,0.641
0100990,5,3224,630,0.195
0101020,25,9704,4048,0.417
0101050,7,3241,1795,0.554
0101080,2,818,545,0.666
0101110,11,2648,2090,0.789
0101140,12,8622,5978,0.693
0101170,18,8679,4885,0.563
0101200,4,2106,1205,0.572
0101230,15,7951,5157,0.649
0101260,2,646,431,0.667
0101290,15,11919,4883,0.41
0101320,9,6589,2719,0.413
0101350,10,4150,2989,0.72
0101380,20,8205,3259,0.397
0101410,5,6780,3552,0.524
0101440,4,1523,1242,0.815
0101470,6,2157,1211,0.561
0101530,8,4584,2472,0.539
0101560,4,3498,2020,0.577
0101590,9,3618,1570,0.434
0101620,12,4858,3270,0.673
0101640,3,1231,590,0.479
0101660,9,2760,1574,0.57
0101680,3,937,800,0.854
0101690,4,1890,769,0.407
0101710,6,2344,1622,0.692
0101720,3,1624,850,0.523
0101730,6,3625,555,0.153
0101740,5,2488,1082,0.435
0101760,5,4236,681,0.161
0101770,12,6305,2692,0.427
0101800,42,23507,10610,0.451
0101830,16,5136,2952,0.575
0101860,2,1690,759,0.449
0101890,5,2599,1066,0.41
0101920,56,35819,19397,0.542
0101950,4,2212,1110,0.502
0101980,3,970,871,0.898
0102010,9,8175,3474,0.425
0102040,13,4764,2642,0.555
0102070,14,9303,4438,0.477
0102100,16,15506,6864,0.443
0102130,3,446,379,0.85
0102160,7,1180,1138,0.964
0102190,6,1845,1782,0.966
0102220,28,19873,5526,0.278
0102250,3,964,698,0.724
0102310,10,3366,1721,0.511
0102350,3,1011,910,0.9
0102370,85,52087,36304,0.697
0102400,6,2450,1555,0.635
0102430,50,27200,20215,0.743
0102480,15,6860,2336,0.341
0102490,6,4340,20,0.005
0102520,6,2840,720,0.254
0102550,3,1425,530,0.372
0102580,6,4237,2030,0.479
0102610,3,1264,497,0.393
0102635,6,4202,1765,0.42
0102640,4,2104,1376,0.654
0102650,8,4140,1946,0.47
0102670,2,1089,976,0.896
0102700,11,7310,4448,0.608
0102730,6,2343,1559,0.665
0102760,3,1131,682,0.603
0102790,5,2157,1618,0.75
0102820,7,2052,1136,0.554
0102850,3,1454,864,0.594
0102880,7,3710,1991,0.537
0102910,2,1232,281,0.228
0102940,5,2501,1158,0.463
0102970,9,2479,2070,0.835
0103000,4,1035,757,0.731
0103030,29,21102,6000,0.284
0103062,18,9771,4539,0.465
0103090,4,1083,1035,0.956
0103120,4,2104,1134,0.539
0103150,5,1339,718,0.536
0103180,17,7127,4647,0.652
0103210,5,2808,1490,0.531
0103240,3,1613,828,0.513
0103270,3,1290,1206,0.935
0103300,3,1084,676,0.624
0103330,3,1682,1083,0.644
0103360,19,10964,5994,0.547
0103390,35,19111,8001,0.419
0103420,4,1454,598,0.411
0103430,9,7095,204,0.029
0103450,16,7201,3665,0.509
0103480,7,2583,1101,0.426
0103510,5,1306,1230,0.942
0103540,3,1255,479,0.382
0103580,9,2317,597,0.258
0400001,7,4799,167,0.035
0400003,4,2402,744,0.31
0400004,1,443,80,0.181
0400005,1,104,32,0.308
0400016,5,1074,811,0.755
0400021,2,601,159,0.265
0400022,1,110,72,0.655
0400023,3,938,802,0.855
0400026,3,387,66,0.171
0400031,1,959,51,0.053
0400033,1,231,174,0.753
0400040,1,55,52,0.945
0400041,1,309,287,0.929
0400047,1,48,20,0.417
0400052,1,344,319,0.927
0400055,1,47,47,1
0400077,1,54,51,0.944
0400081,1,392,111,0.283
0400082,2,1692,412,0.243
0400083,6,635,590,0.929
0400090,1,161,39,0.242
0400092,1,410,81,0.198
0400094,1,65,41,0.631
0400095,1,114,104,0.912
0400100,1,653,113,0.173
0400102,1,287,263,0.916
0400109,1,190,181,0.953
0400112,4,4048,492,0.122
0400122,1,272,252,0.926
0400130,2,298,104,0.349
0400131,2,294,137,0.466
0400135,1,421,55,0.131
0400141,1,114,6,0.053
0400144,1,77,68,0.883
0400147,1,126,86,0.683
0400149,2,671,196,0.292
0400150,2,198,21,0.106
0400151,1,154,151,0.981
0400154,1,73,37,0.507
0400157,1,370,65,0.176
0400163,1,41,32,0.78
0400184,1,455,73,0.16
0400185,1,428,133,0.311
0400190,2,484,163,0.337
0400191,3,1381,728,0.527
0400202,3,548,92,0.168
0400209,2,154,29,0.188
0400212,4,1241,305,0.246
0400213,1,95,50,0.526
0400218,1,722,178,0.247
0400219,4,973,436,0.448
0400221,1,308,283,0.919
0400223,1,644,119,0.185
0400227,1,153,122,0.797
0400229,1,214,19,0.089
0400230,1,499,463,0.928
0400235,1,301,101,0.336
0400237,1,188,56,0.298
0400239,1,938,665,0.709
0400241,2,2818,211,0.075
0400243,1,178,141,0.792
0400244,2,746,542,0.727
0400246,3,451,185,0.41
0400248,1,244,59,0.242
0400255,1,541,91,0.168
0400259,1,408,159,0.39
0400268,1,941,432,0.459
0400279,1,133,18,0.135
0400280,1,489,100,0.204
0400282,2,1692,1351,0.798
0400284,1,302,299,0.99
0400288,1,146,57,0.39
0400290,1,1138,1103,0.969
0400295,11,6896,3424,0.497
0400310,1,471,90,0.191
0400318,1,223,185,0.83
0400320,2,473,97,0.205
0400326,1,973,258,0.265
0400339,1,319,114,0.357
0400340,1,682,149,0.218
0400343,2,144,119,0.826
0400350,1,89,30,0.337
0400351,1,29,22,0.759
0400352,1,162,70,0.432
0400353,1,508,243,0.478
0400354,1,376,135,0.359
0400355,1,465,418,0.899
0400356,1,293,159,0.543
0400357,1,198,73,0.369
0400361,3,2065,822,0.398
0400367,1,125,63,0.504
0400368,1,565,200,0.354
0400370,1,103,79,0.767
0400373,4,446,367,0.823
0400374,1,300,92,0.307
0400376,1,263,241,0.916
0400377,1,33,5,0.152
0400382,1,137,80,0.584
0400384,1,274,84,0.307
0400385,1,213,117,0.549
0400386,1,195,86,0.441
0400387,1,73,48,0.658
0400388,1,163,48,0.294
0400389,1,353,285,0.807
0400390,1,564,187,0.332
0400395,3,804,139,0.173
0400396,1,106,47,0.443
0400397,1,151,86,0.57
0400401,1,169,58,0.343
0400402,2,535,394,0.736
0400405,1,178,147,0.826
0400406,1,546,31,0.057
0400407,3,326,68,0.209
0400413,2,537,130,0.242
0400415,1,468,37,0.079
0400417,1,499,92,0.184
0400420,1,22,5,0.227
0400424,1,555,66,0.119
0400425,1,623,158,0.254
0400438,1,721,662,0.918
0400441,1,308,42,0.136
0400442,1,124,21,0.169
0400444,1,415,82,0.198
0400445,1,351,287,0.818
0400447,1,434,89,0.205
0400448,1,53,14,0.264
0400450,5,8973,1144,0.127
0400480,1,129,32,0.248
0400520,2,409,292,0.714
0400600,17,9904,5927,0.598
0400610,1,923,136,0.147
0400614,1,212,209,0.986
0400618,1,493,233,0.473
0400619,1,464,194,0.418
0400632,1,413,194,0.47
0400637,1,229,77,0.336
0400638,3,976,79,0.081
0400640,2,89,46,0.517
0400641,1,112,95,0.848
0400649,2,880,231,0.262
0400650,1,24,11,0.458
0400653,2,350,65,0.186
0400680,21,12047,3054,0.254
