district_id,school_id,school_name,school_type,school_level,enroll21_nces
4200091,420009100597,21ST CENTURY CYBER CS,1-Regular school,High,2503
2006720,200672002055,21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,1-Regular school,High,152
4400900,440090000492,360 HIGH SCHOOL,1-Regular school,High,284
2007950,200795002097,500 REACH,1-Regular school,High,167
0803360,080336006756,5280 HIGH SCHOOL,1-Regular school,High,104
2700150,270015000652,6-12TH GRADE BUILDING,1-Regular school,High,147
5507530,550753002950,7 RIVERS COMMUNITY HIGH,1-Regular school,High,5
4807350,480735000001,A & M CONS H S,1-Regular school,High,1897
1706540,170654000339,A B SHEPARD HIGH SCH (CAMPUS),1-Regular school,High,1886
4809720,480972000442,A C JONES H S,1-Regular school,High,926
4809720,480972013804,A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,1-Regular school,High,85
5309100,530910002602,A G WEST BLACK HILLS HIGH SCHOOL,1-Regular school,High,821
3702430,370243001039,A L BROWN HIGH,1-Regular school,High,1619
3600083,360008304305,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1-Regular school,High,1506
3701920,370192002669,A&T FOUR MIDDLE COLLEGE,1-Regular school,High,147
0400998,040099803681,A+ CHARTER SCHOOLS,1-Regular school,High,163
4800203,480020313579,A+ SECONDARY SCHOOL,1-Regular school,High,659
5308250,530825002361,A-3 MULTIAGENCY ADOLESCENT PROG,1-Regular school,High,29
1700105,170010505357,A-C CENTRAL HIGH SCHOOL,1-Regular school,High,127
0404630,040463000999,A. C. E.,1-Regular school,High,10
4503360,450336000952,A. C. FLORA HIGH,1-Regular school,High,1363
1200090,120009000067,A. CRAWFORD MOSLEY HIGH SCHOOL,1-Regular school,High,1784
1200480,120048000773,A. PHILIP RANDOLPH ACADEMIES,1-Regular school,High,432
2700106,270010602570,A.C.G.C. SECONDARY,1-Regular school,High,402
0400106,040010601892,AAEC - PARADISE VALLEY,1-Regular school,High,324
0400417,040041701588,AAEC - SMCC CAMPUS,1-Regular school,High,528
4500690,450069000011,ABBEVILLE HIGH,1-Regular school,High,449
0101740,010174000600,ABBEVILLE HIGH SCHOOL,1-Regular school,High,321
2201800,220180001385,ABBEVILLE HIGH SCHOOL,1-Regular school,High,617
5500030,550003000002,ABBOTSFORD MIDDLE/SENIOR HIGH,1-Regular school,High,406
4648390,464839001337,ABBOTT HOUSE HIGH SCHOOL - 07,1-Regular school,High,27
2400390,240039000679,ABERDEEN HIGH,1-Regular school,High,1441
1600030,160003000002,ABERDEEN HIGH SCHOOL,1-Regular school,High,222
2800360,280036000009,ABERDEEN HIGH SCHOOL,1-Regular school,High,343
4807410,480741000008,ABERNATHY H S,1-Regular school,High,252
4807440,480744000010,ABILENE H S,1-Regular school,High,2141
2003180,200318001063,ABILENE HIGH SCHOOL,1-Regular school,High,482
5103900,510390001736,ABINGDON HIGH,1-Regular school,High,876
1701413,170141306274,ABINGDON-AVON HIGH SCH,1-Regular school,High,278
4202010,420201005091,ABINGTON HEIGHTS HS,1-Regular school,High,1058
2501650,250165000001,ABINGTON HIGH,1-Regular school,High,619
4202040,420204003241,ABINGTON SHS,1-Regular school,High,1910
3500060,350006000893,ABQ CHARTER ACADEMY,1-Regular school,High,348
3414280,341428005650,ABRAHAM CLARK HIGH SCHOOL,1-Regular school,High,781
0634590,063459005696,ABRAHAM LINCOLN HIGH,1-Regular school,High,1703
3600152,360015201906,ABRAHAM LINCOLN HIGH SCHOOL,1-Regular school,High,1816
1908220,190822000409,ABRAHAM LINCOLN HIGH SCHOOL,1-Regular school,High,1394
0803360,080336000305,ABRAHAM LINCOLN HIGH SCHOOL,1-Regular school,High,964
0622710,062271003139,ABRAHAM LINCOLN SENIOR HIGH,1-Regular school,High,1122
2200237,220023702068,ABRAMSON SCI ACADEMY,1-Regular school,High,630
3001740,300174000002,ABSAROKEE HIGH SCHOOL,1-Regular school,High,74
3406060,340606000122,ABSEGAMI HIGH SCHOOL,1-Regular school,High,1132
3700030,370003002972,ABSS EARLY COLLEGE AT ACC,1-Regular school,High,226
3600095,360009505916,ACAD FOR COLLEGE PREP AND CAREER EXP,1-Regular school,High,328
3600088,360008805810,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,1-Regular school,High,362
0602291,060229110895,ACADEMIA AVANCE CHARTER,1-Regular school,High,293
2700361,270036104105,ACADEMIC ARTS HIGH SCHOOL,1-Regular school,High,89
2711040,271104004777,ACADEMIC EXCELLENCE ONLINE,1-Regular school,High,55
4501440,450144000168,ACADEMIC MAGNET HIGH,1-Regular school,High,698
0500045,050004501204,ACADEMIES AT RIVERCREST HIGH SCHOOL,1-Regular school,High,522
0622710,062271013040,ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,1-Regular school,High,523
0602820,060282013154,ACADEMIES OF THE ANTELOPE VALLEY,1-Regular school,High,532
4218990,421899000962,ACADEMY AT PALUMBO,1-Regular school,High,1101
3701920,370192002889,ACADEMY AT SMITH,1-Regular school,High,227
4219170,421917007412,ACADEMY AT WESTINGHOUSE,1-Regular school,High,704
3400048,340004800335,ACADEMY CHARTER HIGH SCHOOL,1-Regular school,High,160
2600166,260016601035,ACADEMY FOR BUSINESS AND TECHNOLOGY HIGH SCHOOL,1-Regular school,High,283
3200480,320048000562,ACADEMY FOR CAREER EDUCATION,1-Regular school,High,193
2400090,240009001381,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,1-Regular school,High,715
3600096,360009606054,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,1-Regular school,High,347
3600097,360009705866,ACADEMY FOR EXCELLENCE IN LEADERSHIP,1-Regular school,High,251
1200390,120039008684,ACADEMY FOR INNOVATIVE EDUCATION,1-Regular school,High,462
3600086,360008605981,ACADEMY FOR LANGUAGE AND TECHNOLOGY,1-Regular school,High,371
4900017,490001700904,ACADEMY FOR MATH ENGINEERING & SCIENCE,1-Regular school,High,464
3300040,330004000684,ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),1-Regular school,High,222
3502370,350237000841,ACADEMY FOR TECHNOLOGY & CLASSICS,1-Regular school,High,379
4807440,480744012452,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,1-Regular school,High,343
3400741,340074103050,ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,1-Regular school,High,486
3901472,390147205727,ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,1-Regular school,High,218
3600120,360012005884,ACADEMY FOR YOUNG WRITERS,1-Regular school,High,542
