year,district_id,leaname,ns_wht_blk,ns_wht_hsp,ns_wht_asn,ns_wht_nam,ns_wht_min,ns_was_min,ns_wht_nwh,ns_flu_nfl,ns_frl_nfr,state,district
2022,0100005,Albertville City,0,0,0,0,0,NA,0,NA,NA,01,Albertville City School District
2022,0100006,Marshall County,0.016592575,0.18769297,0.01295549,0.008717202,0.178949311,0.178202614,0.174551785,0.081958726,0.100559376,01,Marshall County School District
2022,0100007,Hoover City,0.045428369,0.041817617,0.031259283,0.00782096,0.048446905,0.045681849,0.040896427,0.043940268,0.051503167,01,Hoover City School District
2022,0100008,Madison City,0.009123553,0.008186682,0.014097099,0.005804036,0.007688208,0.00788707,0.006430738,0.005306982,0.005651792,01,Madison City School District
2022,0100011,Leeds City,0,0,0,0,0,NA,0,NA,NA,01,Leeds City School District
2022,0100012,Boaz City,0,0,0,0,0,NA,0,NA,NA,01,Boaz City School District
2022,0100013,Trussville City,0.011452045,0.004056311,0.009817393,0.003219046,0.007745795,0.014021212,0.006818513,0.001810682,0.002343037,01,Trussville City School District
2022,0100030,Alexander City,0,0,0,NA,0,NA,0,NA,NA,01,Alexander City City School District
2022,0100060,Andalusia City,0,0,0,0,0,NA,0,NA,NA,01,Andalusia City School District
2022,0100090,Anniston City,0.013897603,0.062397648,0,NA,0.012958363,0.025405983,0.012958363,0.049952503,0.06769602,01,Anniston City School District
2022,0100100,Arab City,0,0,0,0,0,NA,0,NA,NA,01,Arab City School District
2022,0100120,Athens City,0.018620135,0.041249622,0.020855686,0.006844894,0.031763203,0.077356741,0.026627623,0.050864786,0.057112925,01,Athens City School District
2022,0100180,Attalla City,0,0,0,0,0,NA,0,NA,NA,01,Attalla City School District
2022,0100185,Saraland City,0,0,0,0,0,NA,0,NA,NA,01,Saraland City School District
2022,0100188,Chickasaw City,0,0,NA,0,0,NA,0,NA,NA,01,Chickasaw City School District
2022,0100189,Satsuma City,0,0,0,0,0,NA,0,NA,NA,01,Satsuma City School District
2022,0100190,Alabaster City,0.001218114,0.005017953,0.004922431,9.18583e-4,0.002628566,0.008834232,0.00170717,0.001803057,0.001694339,01,Alabaster City School District
2022,0100194,Pelham City,0.005535489,0.01393452,0.004258663,9.46973e-5,0.006576211,0.011350684,0.006101146,0.008543153,0.013796295,01,Pelham City School District
2022,0100195,Pike Road City,0,0,0,0,0,NA,0,NA,NA,01,Pike Road City School District
2022,0100202,Gulf Shores City,0,0,0,0,0,NA,0,NA,NA,01,Gulf Shores City School District
2022,0100210,Auburn City,0.011142562,0.00899664,0.015552832,0,0.008405713,0.013403459,0.009339277,0.006511967,0.009505614,01,Auburn City School District
2022,0100240,Autauga County,0.089232519,0.018234989,0.028250003,0.005465823,0.0803058,0.075858168,0.083061628,0.021715041,0.020731492,01,Autauga County School District
2022,0100270,Baldwin County,0.128338948,0.12505883,0.023333352,0.01956783,0.119715735,0.119180396,0.112760134,0.1353845,0.147397429,01,Baldwin County School District
2022,0100300,Barbour County,0,0,0,0,0,NA,0,NA,NA,01,Barbour County School District
2022,0100330,Bessemer City,0.024465939,0.05570725,0,0.304662466,0.013384906,0.022405669,0.013270947,0.02854066,0.042201966,01,Bessemer City School District
