district_id,theils_H_race,theils_H_frl,theils_race_cat,theils_frl_cat
1700105,0.08960385768522881,0.0032979884300588995,mid-low,low
2700106,0.010874484115650495,0.004202930057980599,low,low
4500690,0.1478599494210183,0.3838913649725807,mid-low,high
5500030,0.01631301996246139,0.0034686257451777116,low,low
4807380,0,0,low,low
0601620,0.12980056210839314,0.11347366968714245,mid-low,mid-low
1600030,0.015482716067092148,0.04851039467841872,low,low
2800360,0.02102851094355956,0.19151611290538348,low,mid-high
5300030,0.019574022216271084,0.033090255079106776,low,low
4602070,0.021145406890397515,0.020514515723541432,low,low
4807410,0.004157600622982245,0.0032824950291171,low,low
2003180,0.01774156870610347,0.010048649678170598,low,low
4807440,0.03650896499561996,0.04564652811287286,low,low
1701413,0.01924782899901285,0.002222369554834617,low,low
2501650,0.006784767826418818,0.0013056195749089952,low,low
4202010,0.019718511886868295,NA,low,NA
4202040,0.015927355080829556,0.00922123317072851,low,low
3001710,0.03598590558161096,0.0091461760139664,low,low
3001740,0,0,low,low
3400660,0.001275972096631175,5.021988297053134e-6,low,low
4807470,0.007169521834353718,0.006317418280362647,low,low
0801920,0.022366950212201437,0.06684155798415842,low,mid-low
2200030,0.1514544422113018,0.07428773490811139,mid-high,mid-low
0601650,0.014417400720185066,0.026427416072491702,low,low
5100060,0.07157080604120189,0.0796684410694995,mid-low,mid-low
4002370,0.006503776290334729,0.0010227778170675624,low,low
0601680,0,0,low,low
2302220,0,0,low,low
0600001,0.010912531644213108,0.006485475222239915,low,low
2501710,0.045725601325082445,0.003909344807404335,low,low
2501740,0.00342201754060071,0.005698253555703468,low,low
4002430,0.007522473389140566,0.010987119119199347,low,low
3904518,0.013801123584796866,0,low,low
2700480,NA,NA,NA,NA
4002460,0.013228353612075932,0.02107078897303001,low,low
2922980,0.10655325705775881,0.00919824965437876,mid-low,low
2905790,0.13519791123360259,0.060510758595115635,mid-low,mid-low
2100030,0.005507756103316824,0.015290922030079127,low,low
1903090,0.025701623245073187,0.03779421942867791,low,low
0806900,0.11664817606526898,0.198298674604108,mid-low,mid-high
1800060,0.019450732929362155,0.001218611602384282,low,low
3102770,0.007919758919439789,0.002547507111147771,low,low
3906190,0.026283070887336904,NA,low,NA
2601890,0.10733863659595151,0.009635859275205003,mid-low,low
5500060,0.007712402865046812,0.003137463460950166,low,low
3602370,0.031982837114395715,7.233932223790622e-4,low,low
5000402,0.05099711046359837,0.01625088880450253,mid-low,low
2601920,0.02643203031070427,0.01669635675704805,low,low
5000398,0.02254575401922252,0.008419748080047132,low,low
1703150,0.06664613824478495,0.030181697716112343,mid-low,low
1903150,0.016604431878603804,6.415201873046256e-4,low,low
4100990,0,NA,low,NA
0601710,0.03128879116837139,0.023617944922833346,low,low
3904949,0.005801395208683563,3.8891097133356584e-4,low,low
3605040,0.03935567244343096,0.018432277847717744,low,low
1732580,0,0,low,low
5300060,0.012740877801295864,0.0020225869015368823,low,low
4807500,0,0,low,low
2702730,0.01833759952008795,0.0021050456457284154,low,low
2601950,0.010161487071775136,0.03859404574803883,low,low
2902850,0.0197749766957097,0.015055023841905903,low,low
4101020,0.002674902064871022,0.09539141349462125,low,mid-low
2902880,0.030209416893083922,0.011279036003823144,low,low
2902910,0.0061389845638984055,0.0052841527360825615,low,low
4002520,0.008041136763652324,0.00815868475367817,low,low
3602400,0.023937875522813255,3.9335895673999697e-4,low,low
4600042,0.07082202249029863,0.06933828391936768,mid-low,mid-low
0801980,0.021023082530888294,0.0028091515523745434,low,low
2501800,0.01063494543003651,0.007301772639165503,low,low
4002550,0.03393095039738295,0.0066069432208788964,low,low
4807530,0.011601205189609116,3.4026526956231474e-7,low,low
0400450,0.03546763258770006,0.055382195308776555,low,mid-low
0400480,0,0,low,low
0802010,0.03961919594142608,1.258539805119165e-4,low,low
1903060,0.023480097806396403,0.02161989817590708,low,low
1904080,0.020139866635752936,0.0020465197641935952,low,low
4500720,0.036752278225798365,0.39056776463726806,low,high
3102790,0.017773090681788475,0.0018122420846341243,low,low
2302500,0,0,low,low
2601980,0.0187270191193386,0.020333098295108192,low,low
2702760,0.007185118306885872,0.010219205296002327,low,low
0400520,0.0032697814500721634,0.009172150507570764,low,low
1703210,0,0,low,low
3602430,0.006631604242700677,0.003464914318444782,low,low
3904348,0.1512169272543698,0.14621688730582325,mid-high,mid-low
0802040,0.005593432636676582,0.023017243107306837,low,low
1903220,0.027172117394617955,0.010269500320097377,low,low
2602010,0.008585079395389631,6.599140564988323e-8,low,low
0100190,0.004696281805299833,0.002389661280949573,low,low
1200030,0.08100115173149694,0.08045576058562816,mid-low,mid-low
3700030,0.10494381272239721,0.3114896248071781,mid-low,high
0601770,0.029425247043888627,0.062128563710857274,low,mid-low
4700030,0,0,low,low
4807590,0.007559580119791367,0.00710936669055861,low,low
3500030,0.022795155688127726,0.9142541697266322,low,high
0802070,0.015188515672109243,0.011399893237844879,low,low
2621810,0,0,low,low
0200050,0.3175305462224552,NA,high,NA
2602040,0,0,low,low
4807650,0.0037553016860135914,0.004879367498063471,low,low
3602460,0.03615873434405494,0.07653471360800934,low,mid-low
